question,sql
Report the name of all campuses in Los Angeles county.,SELECT `campus` FROM `Campuses` WHERE `county` = 'Los Angeles'
What campuses are located in the county of Los Angeles?,SELECT `campus` FROM `Campuses` WHERE `county` = 'Los Angeles'
What are the names of all campuses located at Chico?,SELECT `campus` FROM `Campuses` WHERE `LOCATION` = 'Chico'
What campuses are located in Chico?,SELECT `campus` FROM `Campuses` WHERE `LOCATION` = 'Chico'
Find all the campuses opened in 1958.,SELECT `campus` FROM `Campuses` WHERE `YEAR` = 1958
What are the campuses that opened in 1958?,SELECT `campus` FROM `Campuses` WHERE `YEAR` = 1958
Find the name of the campuses opened before 1800.,SELECT `campus` FROM `Campuses` WHERE `YEAR` < 1800
What campuses opened before 1800?,SELECT `campus` FROM `Campuses` WHERE `YEAR` < 1800
Which campus was opened between 1935 and 1939?,SELECT `campus` FROM `Campuses` WHERE `YEAR` >= 1935 AND `YEAR` <= 1939
What campuses opened between 1935 and 1939?,SELECT `campus` FROM `Campuses` WHERE `YEAR` >= 1935 AND `YEAR` <= 1939
"Find the name of the campuses that is in Northridge, Los Angeles or in San Francisco, San Francisco.",SELECT `campus` FROM `Campuses` WHERE `LOCATION` = 'Northridge' AND `county` = 'Los Angeles' UNION SELECT `campus` FROM `Campuses` WHERE `LOCATION` = 'San Francisco' AND `county` = 'San Francisco'
"What campuses are located in Northridge, Los Angeles or in San Francisco, San Francisco?",SELECT `campus` FROM `Campuses` WHERE `LOCATION` = 'Northridge' AND `county` = 'Los Angeles' UNION SELECT `campus` FROM `Campuses` WHERE `LOCATION` = 'San Francisco' AND `county` = 'San Francisco'
"What is the campus fee of ""San Jose State University"" in year 1996?",SELECT `campusfee` FROM `Campuses` AS `t1` JOIN `csu_fees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Jose State University' AND `t2`.`year` = 1996
What is the campus fee for San Jose State University in 1996?,SELECT `campusfee` FROM `Campuses` AS `t1` JOIN `csu_fees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Jose State University' AND `t2`.`year` = 1996
"What is the campus fee of ""San Francisco State University"" in year 1996?",SELECT `campusfee` FROM `Campuses` AS `t1` JOIN `csu_fees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Francisco State University' AND `t2`.`year` = 1996
What is the campus fee for San Francisco State University in 1996?,SELECT `campusfee` FROM `Campuses` AS `t1` JOIN `csu_fees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Francisco State University' AND `t2`.`year` = 1996
Find the count of universities whose campus fee is greater than the average campus fee.,SELECT COUNT(*) FROM `csu_fees` WHERE `campusfee` > (SELECT AVG(`campusfee`) FROM `csu_fees`)
How many universities have a campus fee higher than average?,SELECT COUNT(*) FROM `csu_fees` WHERE `campusfee` > (SELECT AVG(`campusfee`) FROM `csu_fees`)
How many universities have a campus fee greater than the average?,SELECT COUNT(*) FROM `csu_fees` WHERE `campusfee` > (SELECT AVG(`campusfee`) FROM `csu_fees`)
Which university is in Los Angeles county and opened after 1950?,SELECT `campus` FROM `Campuses` WHERE `county` = 'Los Angeles' AND `YEAR` > 1950
What campuses are located in Los Angeles county and opened after 1950?,SELECT `campus` FROM `Campuses` WHERE `county` = 'Los Angeles' AND `YEAR` > 1950
Which year has the most degrees conferred?,SELECT `YEAR` FROM `degrees` GROUP BY `YEAR` ORDER BY SUM(`degrees`) DESC LIMIT 1
In what year was the most degrees conferred?,SELECT `YEAR` FROM `degrees` GROUP BY `YEAR` ORDER BY SUM(`degrees`) DESC LIMIT 1
Which campus has the most degrees conferred in all times?,SELECT `campus` FROM `degrees` GROUP BY `campus` ORDER BY SUM(`degrees`) DESC LIMIT 1
What campus has the most degrees  conferrred over its entire existence?,SELECT `campus` FROM `degrees` GROUP BY `campus` ORDER BY SUM(`degrees`) DESC LIMIT 1
Which campus has the most faculties in year 2003?,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 2003 ORDER BY `t2`.`faculty` DESC LIMIT 1
What campus has the most faculties in 2003?,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 2003 ORDER BY `t2`.`faculty` DESC LIMIT 1
Find the average fee on a CSU campus in 1996,SELECT AVG(`campusfee`) FROM `csu_fees` WHERE `YEAR` = 1996
What is the average fee for a CSU campus in the year of 1996?,SELECT AVG(`campusfee`) FROM `csu_fees` WHERE `YEAR` = 1996
What is the average fee on a CSU campus in 2005?,SELECT AVG(`campusfee`) FROM `csu_fees` WHERE `YEAR` = 2005
What is the average fee for a CSU campus in the year of 2005?,SELECT AVG(`campusfee`) FROM `csu_fees` WHERE `YEAR` = 2005
report the total number of degrees granted between 1998 and 2002.,"SELECT `t1`.`campus`, SUM(`t2`.`degrees`) FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` >= 1998 AND `t2`.`year` <= 2002 GROUP BY `t1`.`campus`"
how many degrees were conferred between 1998 and 2002?,"SELECT `t1`.`campus`, SUM(`t2`.`degrees`) FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` >= 1998 AND `t2`.`year` <= 2002 GROUP BY `t1`.`campus`"
"For each Orange county campus, report the number of degrees granted after 2000.","SELECT `t1`.`campus`, SUM(`t2`.`degrees`) FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`county` = 'Orange' AND `t2`.`year` >= 2000 GROUP BY `t1`.`campus`"
What is the total number of degrees granted after 2000 for each Orange county campus?,"SELECT `t1`.`campus`, SUM(`t2`.`degrees`) FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`county` = 'Orange' AND `t2`.`year` >= 2000 GROUP BY `t1`.`campus`"
Find the names of the campus which has more faculties in 2002 than every campus in Orange county.,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 2002 AND `faculty` > (SELECT MAX(`faculty`) FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 2002 AND `t1`.`county` = 'Orange')
What are the names of the campus that have more faculties in 2002 than the maximum number in Orange county?,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 2002 AND `faculty` > (SELECT MAX(`faculty`) FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 2002 AND `t1`.`county` = 'Orange')
What campus had more than 400 total enrollment but more than 200 full time enrollment in year 1956?,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `enrollments` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 1956 AND `totalenrollment_ay` > 400 AND `FTE_AY` > 200
"What campus started in year 1956, has more than 200 full time students, and more than 400 students enrolled?",SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `enrollments` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`year` = 1956 AND `totalenrollment_ay` > 400 AND `FTE_AY` > 200
How many campuses are there in Los Angeles county?,SELECT COUNT(*) FROM `Campuses` WHERE `county` = 'Los Angeles'
How many campuses exist are in the county of LA?,SELECT COUNT(*) FROM `Campuses` WHERE `county` = 'Los Angeles'
List the campuses in Los Angeles county.,SELECT `campus` FROM `Campuses` WHERE `county` = 'Los Angeles'
What campuses are in Los Angeles county?,SELECT `campus` FROM `Campuses` WHERE `county` = 'Los Angeles'
