question,sql
Show me all the restaurants.,SELECT `ResName` FROM `Restaurant`
What is the address of the restaurant Subway?,SELECT `Address` FROM `Restaurant` WHERE `ResName` = `Subway`
What is the rating of the restaurant Subway?,SELECT `Rating` FROM `Restaurant` WHERE `ResName` = `Subway`
List all restaurant types.,SELECT `ResTypeName` FROM `Restaurant_Type`
What is the description of the restaurant type Sandwich?,SELECT `ResTypeDescription` FROM `Restaurant_Type` WHERE `ResTypeName` = `Sandwich`
Which restaurants have highest rating? List the restaurant name and its rating.,"SELECT `ResName`, `Rating` FROM `Restaurant` ORDER BY `Rating` DESC LIMIT 1"
What is the age of student Linda Smith?,SELECT `Age` FROM `Student` WHERE `Fname` = `Linda` AND `Lname` = `Smith`
What is the gender of the student Linda Smith?,SELECT `Sex` FROM `Student` WHERE `Fname` = `Linda` AND `Lname` = `Smith`
List all students' first names and last names who majored in 600.,"SELECT `Fname`, `Lname` FROM `Student` WHERE `Major` = 600"
Which city does student Linda Smith live in?,SELECT `city_code` FROM `Student` WHERE `Fname` = `Linda` AND `Lname` = `Smith`
Advisor 1121 has how many students?,SELECT COUNT(*) FROM `Student` WHERE `Advisor` = 1121
Which Advisor has most of students? List advisor and the number of students.,"SELECT `Advisor`, COUNT(*) FROM `Student` GROUP BY `Advisor` ORDER BY COUNT(`Advisor`) DESC LIMIT 1"
Which major has least number of students? List the major and the number of students.,"SELECT `Major`, COUNT(*) FROM `Student` GROUP BY `Major` ORDER BY COUNT(`Major`) ASC LIMIT 1"
Which major has between 2 and 30 number of students? List major and the number of students.,"SELECT `Major`, COUNT(*) FROM `Student` GROUP BY `Major` HAVING COUNT(`Major`) BETWEEN 2 AND 30"
Which student's age is older than 18 and is majoring in 600? List each student's first and last name.,"SELECT `Fname`, `Lname` FROM `Student` WHERE `Age` > 18 AND `Major` = 600"
List all female students age is older than 18 who is not majoring in 600. List students' first name and last name.,"SELECT `Fname`, `Lname` FROM `Student` WHERE `Age` > 18 AND `Major` <> 600 AND `Sex` = 'F'"
How many restaurant is the Sandwich type restaurant?,SELECT COUNT(*) FROM `Restaurant` JOIN `Type_Of_Restaurant` ON `Restaurant`.`ResID` = `Type_Of_Restaurant`.`ResID` JOIN `Restaurant_Type` ON `Type_Of_Restaurant`.`ResTypeID` = `Restaurant_Type`.`ResTypeID` GROUP BY `Type_Of_Restaurant`.`ResTypeID` HAVING `Restaurant_Type`.`ResTypeName` = 'Sandwich'
How long does student Linda Smith spend on the restaurant in total?,SELECT SUM(`Spent`) FROM `Student` JOIN `Visits_Restaurant` ON `Student`.`StuID` = `Visits_Restaurant`.`StuID` WHERE `Student`.`Fname` = `Linda` AND `Student`.`Lname` = `Smith`
How many times has the student Linda Smith visited Subway?,SELECT COUNT(*) FROM `Student` JOIN `Visits_Restaurant` ON `Student`.`StuID` = `Visits_Restaurant`.`StuID` JOIN `Restaurant` ON `Visits_Restaurant`.`ResID` = `Restaurant`.`ResID` WHERE `Student`.`Fname` = `Linda` AND `Student`.`Lname` = `Smith` AND `Restaurant`.`ResName` = `Subway`
When did Linda Smith visit Subway?,SELECT `TIME` FROM `Student` JOIN `Visits_Restaurant` ON `Student`.`StuID` = `Visits_Restaurant`.`StuID` JOIN `Restaurant` ON `Visits_Restaurant`.`ResID` = `Restaurant`.`ResID` WHERE `Student`.`Fname` = `Linda` AND `Student`.`Lname` = `Smith` AND `Restaurant`.`ResName` = `Subway`
At which restaurant did the students spend the least amount of time? List restaurant and the time students spent on in total.,"SELECT `Restaurant`.`ResName`, SUM(`Visits_Restaurant`.`Spent`) FROM `Visits_Restaurant` JOIN `Restaurant` ON `Visits_Restaurant`.`ResID` = `Restaurant`.`ResID` GROUP BY `Restaurant`.`ResID` ORDER BY SUM(`Visits_Restaurant`.`Spent`) ASC LIMIT 1"
Which student visited restaurant most often? List student's first name and last name.,"SELECT `Student`.`Fname`, `Student`.`Lname` FROM `Student` JOIN `Visits_Restaurant` ON `Student`.`StuID` = `Visits_Restaurant`.`StuID` GROUP BY `Student`.`StuID` ORDER BY COUNT(*) DESC LIMIT 1"
