question,sql
How many flights have a velocity larger than 200?,SELECT COUNT(*) FROM `flight` WHERE `velocity` > 200
"List the vehicle flight number, date and pilot of all the flights, ordered by altitude.","SELECT `vehicle_flight_number`, `date`, `pilot` FROM `flight` ORDER BY `altitude` ASC"
"List the id, country, city and name of the airports ordered alphabetically by the name.","SELECT `id`, `country`, `city`, `name` FROM `airport` ORDER BY `name`"
What is maximum group equity shareholding of the companies?,SELECT MAX(`group_equity_shareholding`) FROM `operate_company`
What is the velocity of the pilot named 'Thompson'?,SELECT AVG(`velocity`) FROM `flight` WHERE `pilot` = 'Thompson'
What are the names and types of the companies that have ever operated a flight?,"SELECT `t1`.`name`, `t1`.`type` FROM `operate_company` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`company_id`"
What are the names of the airports which are not in the country 'Iceland'?,SELECT `name` FROM `airport` WHERE `country` <> 'Iceland'
What are the distinct types of the companies that have operated any flights with velocity less than 200?,SELECT DISTINCT `t1`.`type` FROM `operate_company` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`company_id` WHERE `t2`.`velocity` < 200
What are the ids and names of the companies that operated more than one flight?,"SELECT `t1`.`id`, `t1`.`name` FROM `operate_company` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`company_id` GROUP BY `t1`.`id`, `t1`.`name` HAVING COUNT(*) > 1"
"What is the id, name and IATA code of the airport that had most number of flights?","SELECT `t1`.`id`, `t1`.`name`, `t1`.`IATA` FROM `airport` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`airport_id` GROUP BY `t1`.`id`, `t1`.`name`, `t1`.`IATA` ORDER BY COUNT(*) DESC LIMIT 1"
What are the different pilot names who had piloted a flight in the country 'United States' or in the airport named 'Billund Airport'?,SELECT DISTINCT `t2`.`pilot` FROM `airport` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`airport_id` WHERE `t1`.`country` = 'United States' OR `t1`.`name` = 'Billund Airport'
"What is the most common company type, and how many are there?","SELECT `TYPE`, COUNT(*) FROM `operate_company` GROUP BY `TYPE` ORDER BY COUNT(*) DESC LIMIT 1"
How many airports haven't the pilot 'Thompson' driven an aircraft?,SELECT COUNT(*) FROM `airport` WHERE NOT `id` IN (SELECT `airport_id` FROM `flight` WHERE `pilot` = 'Thompson')
List the name of the pilots who have flied for both a company that mainly provide 'Cargo' services and a company that runs 'Catering services' activities.,SELECT `t2`.`pilot` FROM `operate_company` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`company_id` WHERE `t1`.`principal_activities` = 'Cargo' INTERSECT SELECT `t2`.`pilot` FROM `operate_company` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`company_id` WHERE `t1`.`principal_activities` = 'Catering services'
Which of the airport names contains the word 'international'?,SELECT `name` FROM `airport` WHERE `name` LIKE '%international%'
How many companies operates airlines in each airport?,"SELECT `t3`.`id`, COUNT(*) FROM `operate_company` AS `t1` JOIN `flight` AS `t2` ON `t1`.`id` = `t2`.`company_id` JOIN `airport` AS `t3` ON `t2`.`airport_id` = `t3`.`id` GROUP BY `t3`.`id`"
how many airports are there in each country?,"SELECT COUNT(*), `country` FROM `airport` GROUP BY `country`"
which countries have more than 2 airports?,SELECT `country` FROM `airport` GROUP BY `country` HAVING COUNT(*) > 2
which pilot is in charge of the most number of flights?,SELECT `pilot` FROM `flight` GROUP BY `pilot` ORDER BY COUNT(*) DESC LIMIT 1
