question,sql
How many climbers are there?,SELECT COUNT(*) FROM `climber`
Count the number of climbers.,SELECT COUNT(*) FROM `climber`
List the names of climbers in descending order of points.,SELECT `Name` FROM `climber` ORDER BY `Points` DESC
"What are the names of the climbers, ordered by points descending?",SELECT `Name` FROM `climber` ORDER BY `Points` DESC
List the names of climbers whose country is not Switzerland.,SELECT `Name` FROM `climber` WHERE `Country` <> `Switzerland`
What are the names of climbers who are not from the country of Switzerland?,SELECT `Name` FROM `climber` WHERE `Country` <> `Switzerland`
What is the maximum point for climbers whose country is United Kingdom?,SELECT MAX(`Points`) FROM `climber` WHERE `Country` = `United Kingdom`
Return the maximum number of points for climbers from the United Kingdom.,SELECT MAX(`Points`) FROM `climber` WHERE `Country` = `United Kingdom`
How many distinct countries are the climbers from?,SELECT COUNT(DISTINCT `Country`) FROM `climber`
Count the number of different countries that climbers are from.,SELECT COUNT(DISTINCT `Country`) FROM `climber`
What are the names of mountains in ascending alphabetical order?,SELECT `Name` FROM `mountain` ORDER BY `Name` ASC
Give the names of mountains in alphabetical order.,SELECT `Name` FROM `mountain` ORDER BY `Name` ASC
What are the countries of mountains with height bigger than 5000?,SELECT `Country` FROM `mountain` WHERE `Height` > 5000
Return the countries of the mountains that have a height larger than 5000.,SELECT `Country` FROM `mountain` WHERE `Height` > 5000
What is the name of the highest mountain?,SELECT `Name` FROM `mountain` ORDER BY `Height` DESC LIMIT 1
Return the name of the mountain with the greatest height.,SELECT `Name` FROM `mountain` ORDER BY `Height` DESC LIMIT 1
List the distinct ranges of the mountains with the top 3 prominence.,SELECT DISTINCT `Range` FROM `mountain` ORDER BY `Prominence` DESC LIMIT 3
What are the different ranges of the 3 mountains with the highest prominence?,SELECT DISTINCT `Range` FROM `mountain` ORDER BY `Prominence` DESC LIMIT 3
Show names of climbers and the names of mountains they climb.,"SELECT `T1`.`Name`, `T2`.`Name` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID`"
What are the names of climbers and the corresponding names of mountains that they climb?,"SELECT `T1`.`Name`, `T2`.`Name` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID`"
Show the names of climbers and the heights of mountains they climb.,"SELECT `T1`.`Name`, `T2`.`Height` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID`"
What are the names of climbers and the corresponding heights of the mountains that they climb?,"SELECT `T1`.`Name`, `T2`.`Height` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID`"
Show the height of the mountain climbed by the climber with the maximum points.,SELECT `T2`.`Height` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID` ORDER BY `T1`.`Points` DESC LIMIT 1
What is the height of the mountain climbined by the climbing who had the most points?,SELECT `T2`.`Height` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID` ORDER BY `T1`.`Points` DESC LIMIT 1
"Show the distinct names of mountains climbed by climbers from country ""West Germany"".",SELECT DISTINCT `T2`.`Name` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID` WHERE `T1`.`Country` = `West Germany`
What are the different names of mountains ascended by climbers from the country of West Germany?,SELECT DISTINCT `T2`.`Name` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID` WHERE `T1`.`Country` = `West Germany`
